Title,Artist,Album Cover URL,Slug,Song Link
DUMMY,donny daydream,https://i.scdn.co/image/ab67616d0000b273cc00a0e40080d21166d844e9,dummy,https://open.spotify.com/track/7HrWXshLomWHVYD1tC21S1
Upset (feat. Tommy Richman & FELIX!),"Brent Faiyaz, FELIX!, Tommy Richman",https://i.scdn.co/image/ab67616d0000b273ceb160561269ab00b1df9678,upset-feat-tommy-richman-felix,https://open.spotify.com/track/5iwUwADk4uQUvgMF6PlTRl
Magnolia,Playboi Carti,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,magnolia,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
TMW,Avenoir,https://i.scdn.co/image/ab67616d0000b2734fe0775d2c7431476e43edc7,tmw,https://open.spotify.com/track/19Dhj2zNpcTX2mBYrxlkax
Shotput,Still Woozy,https://i.scdn.co/image/ab67616d0000b27338e2ac6ca22c8d1f4d781137,shotput,https://open.spotify.com/track/4nUIq4IuoIiHKYdov9A4Yg
Sativa,"Jhené Aiko, Swae Lee",https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2,sativa,https://open.spotify.com/track/2pg2TiYo9Rb8KeB5JjP7jS
HONEST,Baby Keem,https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1,honest,https://open.spotify.com/track/58k32my5lKofeZRtIvBDg9
Loose,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b2737aa8783ad8def37cc548a9cf,loose,https://open.spotify.com/track/3xqWiKFFYF9Pv7H1nNoZFd
Stars Align (with Drake),"Majid Jordan, Drake",https://i.scdn.co/image/ab67616d0000b273ecca1386fa4e6b7a947907ef,stars-align-with-drake,https://open.spotify.com/track/5hTl2uxJGd1sbLtovguuuk
"I'm Good Luv, Enjoy.",Aaron May,https://i.scdn.co/image/ab67616d0000b27353c7a0c956286b6a39185af4,i-m-good-luv-enjoy,https://open.spotify.com/track/3RKLJPyyMZfwebsePAzqjL
I Wonder,Kanye West,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a,i-wonder,https://open.spotify.com/track/7rbECVPkY5UODxoOUVKZnA
Money Trees,"Kendrick Lamar, Jay Rock",https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797,money-trees,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
SKELETONS,Travis Scott,https://i.scdn.co/image/ab67616d0000b273daec894c14c0ca42d76eeb32,skeletons,https://open.spotify.com/track/6NMtzpDQBTOfJwMzgMX0zl
NEVER LAST,Lil Tecca,https://i.scdn.co/image/ab67616d0000b273e55a3924103c132fd3fdc480,never-last,https://open.spotify.com/track/7JKwHEhYWjEDiaAVqm0RZd
